updated	id	confirmed	deaths	recovered
2020-01-25 22:00:00	1787	5		
2020-01-31 14:00:00	1790	29		2
2020-01-29 21:00:00	1796	12		1
2020-01-26 11:00:00	1802	5		
2020-01-30 11:00:00	1805	12		1
2020-01-29 14:30:00	1808	9		1
2020-01-26 23:00:00	1811	7		
2020-01-29 13:30:00	1814	9		
2020-01-28 13:00:00	1817	9		
2020-01-23 12:00:00	1820	3		
2020-01-31 19:00:00	1823	29		2
2020-01-24 12:00:00	77	1		
2020-01-27 19:00:00	1829	11		
2020-01-25 22:00:00	1832	7		
2020-01-31 14:00:00	1835	20		1
2020-01-25 12:00:00	1838	7		
2020-02-01 10:00:00	1844	23		1
2020-01-27 20:30:00	1847	11		
2020-01-28 18:00:00	1850	15		
2020-01-28 23:00:00	1856	16		
2020-02-03 21:00:00	1859	34		1
2020-01-27 09:00:00	1862	11		
2020-02-02 21:00:00	1865	27		1
2020-01-29 13:30:00	1868	16		
2020-01-28 13:00:00	1871	15		
2020-01-26 23:00:00	1874	11		
2020-01-31 19:00:00	1877	20		
2020-01-29 21:00:00	1880	16		
2020-01-26 11:00:00	1883	7		
2020-01-30 11:00:00	1886	19		
2020-01-29 14:30:00	1889	16		
2020-01-31 19:00:00	80	21		1
2020-01-29 13:30:00	1895	12		
2020-01-23 12:00:00	1898	1		
2020-01-26 23:00:00	1901	4		
2020-01-28 13:00:00	1904	11		
2020-01-29 14:30:00	1907	12		
2020-01-30 11:00:00	1910	17		
2020-01-26 11:00:00	1913	4		
2020-01-29 21:00:00	1916	12		
2020-01-24 12:00:00	1919	2		
2020-01-31 14:00:00	1922	21		
2020-01-25 12:00:00	1925	3		
2020-01-25 22:00:00	1928	4		
2020-01-27 19:00:00	1931	7		
2020-02-03 21:00:00	1934	31		1
2020-02-02 21:00:00	1940	28		
2020-01-27 09:00:00	1943	7		
2020-01-22 12:00:00	1946	1		
2020-02-01 10:00:00	1949	26		
2020-01-27 20:30:00	1952	7		
2020-01-28 23:00:00	1955	12		
2020-01-28 18:00:00	1958	11		
2020-01-28 23:00:00	83	9		
2020-01-28 18:00:00	1967	8		
2020-01-25 12:00:00	1970	4		
2020-01-27 20:30:00	1973	6		
2020-02-01 10:00:00	1976	17		1
2020-02-03 21:00:00	1979	42		1
2020-01-27 09:00:00	1982	6		
2020-02-02 21:00:00	1985	31		1
2020-01-25 22:00:00	1988	4		
2020-01-27 19:00:00	1991	6		
2020-01-24 12:00:00	1994	3		
2020-01-31 14:00:00	1997	14		1
2020-01-26 11:00:00	2006	4		
2020-01-29 21:00:00	2009	14		1
2020-01-29 14:30:00	2012	9		
2020-01-30 11:00:00	2015	14		1
2020-01-26 23:00:00	2018	6		
2020-01-29 13:30:00	2021	9		
2020-01-23 12:00:00	2024	1		
2020-01-28 13:00:00	2027	8		
2020-01-31 19:00:00	2030	14		1
2020-01-27 09:00:00	86	5		
2020-02-03 21:00:00	2036	24		
2020-02-02 21:00:00	2039	24		
2020-01-25 12:00:00	2042	3		
2020-01-28 18:00:00	2045	10		
2020-01-28 23:00:00	2048	13		
2020-01-27 20:30:00	2051	5		
2020-02-01 10:00:00	2054	18		
2020-01-31 14:00:00	2057	17		
2020-01-24 12:00:00	2063	2		
2020-01-27 19:00:00	2066	5		
2020-01-25 22:00:00	2072	4		
2020-01-30 11:00:00	2075	14		
2020-01-29 14:30:00	2078	13		
2020-01-29 21:00:00	2081	14		
2020-01-26 11:00:00	2084	4		
2020-01-31 19:00:00	2087	17		
2020-01-29 13:30:00	2090	13		
2020-01-23 12:00:00	2093	2		
2020-01-26 23:00:00	2096	5		
2020-01-28 13:00:00	2099	10		
2020-01-31 14:00:00	89	8		
2020-01-27 19:00:00	2105	6		
2020-01-25 22:00:00	2108	1		
2020-02-02 21:00:00	2111	11		
2020-02-03 21:00:00	2114	13		
2020-01-27 09:00:00	2117	4		
2020-01-28 18:00:00	2120	6		
2020-01-25 12:00:00	2123	1		
2020-01-28 23:00:00	2126	6		
2020-02-01 10:00:00	2129	9		
2020-01-27 20:30:00	2132	6		
2020-01-31 19:00:00	2135	8		
2020-01-29 13:30:00	2138	6		
2020-01-28 13:00:00	2141	6		
2020-01-26 23:00:00	2144	4		
2020-01-30 11:00:00	2147	8		
2020-01-29 14:30:00	2150	6		
2020-01-29 21:00:00	2153	6		
2020-01-26 11:00:00	2156	1		
2020-01-31 14:00:00	92	1		
2020-02-01 10:00:00	2162	1		
2020-02-03 21:00:00	2165	1		
2020-02-02 21:00:00	2168	1		
2020-01-31 19:00:00	2171	1		
2020-01-29 21:00:00	2174	1		
2020-01-30 11:00:00	2177	1		
2020-01-23 12:00:00	95	3		
2020-01-29 13:30:00	2183	14		5
2020-01-26 23:00:00	2186	8		2
2020-01-28 13:00:00	2189	14		5
2020-01-31 19:00:00	2192	19		5
2020-01-29 21:00:00	2195	14		5
2020-01-21 22:00:00	2198	2		
2020-01-26 11:00:00	2201	8		2
2020-01-30 11:00:00	2204	14		5
2020-01-29 14:30:00	2207	14		5
2020-01-24 12:00:00	2210	4		
2020-01-27 19:00:00	2213	8		2
2020-01-25 22:00:00	2216	7		
2020-01-31 14:00:00	2219	19		5
2020-01-25 12:00:00	2222	7		
2020-02-01 10:00:00	2228	19		5
2020-01-27 20:30:00	2231	8		2
2020-01-28 18:00:00	2234	14		5
2020-01-28 23:00:00	2240	14		5
2020-02-02 21:00:00	2243	19		5
2020-02-03 21:00:00	2246	19		5
2020-01-27 09:00:00	2249	8		2
2020-01-22 12:00:00	2252	2		
2020-01-28 23:00:00	98	7		1
2020-01-25 12:00:00	2258	2		
2020-01-28 18:00:00	2261	7		1
2020-01-27 20:30:00	2264	4		1
2020-02-01 10:00:00	2267	17		1
2020-01-22 12:00:00	2270	2		
2020-01-27 09:00:00	2273	4		1
2020-02-03 21:00:00	2276	20		1
2020-02-02 21:00:00	2279	20		1
2020-01-25 22:00:00	2282	2		
2020-01-27 19:00:00	2285	4		1
2020-01-24 12:00:00	2288	2		
2020-01-31 14:00:00	2291	15		1
2020-01-26 11:00:00	2300	4		1
2020-01-21 22:00:00	2303	1		
2020-01-29 21:00:00	2306	11		1
2020-01-29 14:30:00	2309	7		1
2020-01-30 11:00:00	2312	11		1
2020-01-23 12:00:00	2315	2		
2020-01-29 13:30:00	2318	7		1
2020-01-26 23:00:00	2321	4		1
2020-01-28 13:00:00	2324	7		1
2020-01-31 19:00:00	2327	17		1
2020-01-25 12:00:00	101	3		
2020-01-31 14:00:00	2333	10		
2020-01-24 12:00:00	2336	3		
2020-01-27 19:00:00	2339	5		
2020-01-25 22:00:00	2342	3		
2020-01-22 12:00:00	2348	1		
2020-01-27 09:00:00	2351	5		
